Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,ASTJSON.cpp,0,15,0,18,196,22,1,1,1,1,15,0,15,0,,,,0,,,,,,11,,,,,,,,,,,,,,,235,18,,,,191,62,127,,,22,,,,,0,,,5,,,,141,163,63,,,0,100,,,,,,,,1,1,1,1,,,0,,,0.12,11,11,11,11
File,ASTJsonConverter.cpp,0,10,0,71,729,23,2,2,2,1,10,0,10,0,,,,0,,,,,,66,,,,,,,,,,,,,,,822,71,,,,722,212,263,,,23,,,,,0,,,7,,,,215,384,197,,,13,174,,,,,,,,12,12,22,1,,,6,,,0.03,129,117,141,66
File,ASTJsonConverter.h,0,6,0,7,132,30,2,2,2,1,6,0,6,0,,,,1,,,,,,5,,,,,,,,,,,,,,,167,7,,,,124,100,13,,,30,,,,,0,,,8,,,,80,94,80,,,2,12,,,,,,,,4,4,4,1,,,3,,,0.24,12,12,12,5
Public Function,ASTJsonConverter::contractKind,,,,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,0,,,,14,1,9,,,0,,,,,0,,,0,4,4,1,4,8,0,,,0,8,,,4,2,4,1,6,,,,,0,,1,0,,0.00,,,,
Public Function,ASTJsonConverter::endVisit,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,,,,4,1,1,,,0,,,,,0,,,0,0,1,0,1,1,0,,,0,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::functionCallKind,,,,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,0,,,,14,1,9,,,0,,,,,0,,,0,4,4,1,4,8,0,,,0,8,,,4,2,4,1,6,,,,,0,,1,0,,0.00,,,,
Public Function,ASTJsonConverter::literalTokenKind,,,,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,0,,,,15,1,10,,,0,,,,,0,,,0,4,4,1,4,9,0,,,0,9,,,5,2,5,1,6,,,,,0,,1,0,,0.00,,,,
Public Function,ASTJsonConverter::location,,,,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,0,,,,14,1,9,,,0,,,,,0,,,0,4,4,1,4,8,0,,,0,8,,,4,2,4,1,6,,,,,0,,1,0,,0.00,,,,
Public Function,ASTJsonConverter::type,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,,,,4,1,1,,,0,,,,,0,,,0,3,1,0,1,1,0,,,0,1,,,2,2,2,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::type,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,,,,4,1,1,,,0,,,,,0,,,0,3,1,0,1,1,0,,,0,1,,,2,2,2,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visibility,,,,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,0,,,,16,1,11,,,0,,,,,0,,,0,4,5,1,5,10,0,,,0,10,,,5,2,5,1,10,,,,,0,,1,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,,,,8,3,4,,,0,,,,,0,,,0,3,2,0,2,5,2,,,1,2,,,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,0,,,,22,11,9,,,0,,,,,0,,,0,18,3,0,12,16,5,,,1,10,,,6,6,6,1,0,,,,,0,,3,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,,,,12,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,,,,6,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,,,,6,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,,,,9,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,,,,7,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,,,,5,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,,,,5,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,0,,,,18,14,2,,,0,,,,,0,,,0,19,1,0,3,3,1,,,0,2,,,3,3,3,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,0,,,,18,12,4,,,0,,,,,0,,,0,22,2,0,4,5,1,,,0,4,,,3,3,3,1,0,,,,,0,,1,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,,,,8,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,,,,6,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,,,,5,1,2,,,0,,,,,0,,,0,6,2,0,3,4,0,,,0,4,,,3,3,3,1,0,,,,,0,,2,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,,,,8,1,3,,,0,,,,,0,,,0,2,1,0,1,1,0,,,0,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,,,,6,1,2,,,0,,,,,0,,,0,3,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,,,,8,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,,,,10,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,,,,7,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,,,,7,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,0,,,,16,5,6,,,0,,,,,0,,,0,5,3,0,4,8,4,,,1,3,,,3,3,3,1,0,,,,,0,,2,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,,,,5,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,,,,5,1,2,,,0,,,,,0,,,0,2,1,0,2,2,0,,,0,2,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,,,,7,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,,,,9,1,5,,,0,,,,,0,,,0,3,1,0,0,0,0,,,0,0,,,2,2,2,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,,,,8,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,,,,5,1,2,,,0,,,,,0,,,0,2,1,0,2,2,0,,,0,2,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,,,,5,1,2,,,0,,,,,0,,,0,2,1,0,2,2,0,,,0,2,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,,,,6,1,2,,,0,,,,,0,,,0,2,1,0,0,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,,,,5,1,2,,,0,,,,,0,,,0,2,1,0,3,3,0,,,1,2,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,ASTJsonConverter::visit,,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,,,,10,3,4,,,0,,,,,0,,,0,4,2,0,2,5,2,,,1,2,,,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
