Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Class,org.ethereum.sync.ShortSyncTest.setupPeers.(Anon_25),,,,,,,1,1,1,1,3,0,3,0,2,4,0,,0,0,,,,,1,0,,,,1,1,,0,,0,0,1,,5,0,,,,5,0,4,,,0,,,,,,,,,,,,1,2,1,,,,1,,,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,org.ethereum.sync.ShortSyncTest.setupPeers.(Anon_25).onEthStatusUpdated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,,,,3,0,2,,,0,,,,,,,,,2,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Class,org.ethereum.sync.ShortSyncTest.setupPeers.(Anon_26),,,,,,,1,1,1,1,3,0,3,0,2,2,0,,0,0,,,,,1,0,,,,1,1,,0,,0,0,1,,5,0,,,,5,0,4,,,0,,,,,,,,,,,,1,2,1,,,,1,,,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,org.ethereum.sync.ShortSyncTest.setupPeers.(Anon_26).onPeerAddedToSyncPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,,,,3,0,2,,,0,,,,,,,,,1,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,org.ethereum.sync.ShortSyncTest.setupTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,1,,,,6,1,4,,,0,,,,,,,,,3,1,0,4,5,1,,,,4,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,org.ethereum.sync.ShortSyncTest.test1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,33,9,,,,21,3,15,,,3,,,,,,,,,8,4,1,9,15,5,,,,10,,,3,3,3,1,0,,,,,0,,1,0,,0.14,,,,
Class,org.ethereum.sync.ShortSyncTest.test1.(Anon_1),,,,,,,2,2,2,1,5,0,5,0,2,2,0,,0,0,,,,,1,0,,,,1,1,,0,,0,0,1,,7,0,,,,7,0,5,,,0,,,,,,,,,,,,1,3,1,,,,2,,,,,,,,2,2,2,1,,1,1,,0,0.00,2,2,2,1
Public Method,org.ethereum.sync.ShortSyncTest.test1.(Anon_1).onBlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,,,,5,0,3,,,0,,,,,,,,,2,2,0,1,3,1,,,,2,,,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Method,org.ethereum.sync.ShortSyncTest.test10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,104,24,,,,72,9,56,,,8,,,,,,,,,13,96,2,36,55,17,,,,38,,,8,8,8,3,2,,,,,2,,1,2,,0.11,,,,
Class,org.ethereum.sync.ShortSyncTest.test10.(Anon_14),,,,,,,3,3,3,1,15,3,12,0,2,3,0,,0,0,,,,,1,0,,,,1,1,,0,,0,1,0,,17,3,,,,14,2,11,,,0,,,,,,,,,,,,8,11,4,,,,7,,,,,,,,3,3,3,1,,1,1,,0,0.00,3,3,3,1
Protected Method,org.ethereum.sync.ShortSyncTest.test10.(Anon_14).processGetBlockHeaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,3,,,,12,2,9,,,0,,,,,,,,,8,3,0,8,11,4,,,,7,,,3,3,3,1,1,,,,,0,,1,0,,0.00,,,,
Class,org.ethereum.sync.ShortSyncTest.test10.(Anon_15),,,,,,,2,2,2,1,5,0,5,0,2,4,0,,0,0,,,,,1,0,,,,1,1,,0,,0,0,1,,7,0,,,,7,0,5,,,0,,,,,,,,,,,,1,3,1,,,,2,,,,,,,,2,2,2,1,,1,1,,0,0.00,2,2,2,1
Public Method,org.ethereum.sync.ShortSyncTest.test10.(Anon_15).onRecvMessage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,,,,5,0,3,,,0,,,,,,,,,1,2,0,1,3,1,,,,2,,,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Class,org.ethereum.sync.ShortSyncTest.test10.(Anon_16),,,,,,,2,2,2,1,5,0,5,0,2,2,0,,0,0,,,,,1,0,,,,1,1,,0,,0,0,1,,7,0,,,,7,0,5,,,0,,,,,,,,,,,,1,3,1,,,,2,,,,,,,,2,2,2,1,,1,1,,0,0.00,2,2,2,1
